Tiempo,Temp_DHT,Humedad_DHT,Temp_BME,Presion_BME
00:00:03,24,47,26.30,766.37
00:00:04,24,47,25.73,767.11
00:00:05,25,46,25.70,767.14
00:00:07,25,45,25.67,767.24
00:00:08,25,45,25.64,767.24
00:00:09,25,44,25.62,767.32
00:00:10,25,44,25.58,767.41
00:00:12,25,44,25.56,767.33
00:00:13,25,44,25.54,767.35
00:00:14,25,43,25.53,767.33
00:00:16,25,43,25.53,767.33
00:00:17,25,43,25.52,767.38
00:00:18,25,43,25.52,767.38
00:00:20,25,43,25.50,767.43
00:00:21,25,43,25.51,767.41
00:00:22,25,42,25.49,767.38
00:00:24,25,42,25.49,767.41
00:00:25,25,42,25.48,767.38
00:00:26,25,42,25.47,767.41
00:00:28,25,42,25.47,767.35
00:00:29,25,42,25.47,767.41
00:00:30,25,42,25.46,767.36
00:00:32,24,42,25.45,767.36
00:00:33,24,41,25.46,767.46
00:00:34,24,41,25.44,767.44
00:00:36,24,41,25.44,767.46
00:00:37,24,41,25.43,767.54
00:00:38,24,41,25.42,767.52
00:00:40,24,41,25.42,767.52
00:00:41,24,41,25.42,767.49
00:00:42,24,41,25.41,767.46
00:00:44,24,41,25.40,767.52
00:00:45,24,40,25.40,767.41
00:00:47,24,40,25.39,767.57
00:00:48,24,40,25.38,767.52
00:00:49,24,40,25.39,767.46
00:00:51,24,40,25.36,767.49
00:00:52,24,40,25.37,767.49
00:00:53,24,40,25.37,767.49
00:00:55,24,40,25.36,767.57
00:00:56,24,40,25.36,767.46
00:00:57,24,40,25.35,767.52
00:00:59,24,40,25.35,767.55
00:01:00,24,40,25.35,767.55
00:01:01,24,40,25.34,767.55
00:01:03,24,40,25.34,767.57
00:01:04,24,40,25.33,767.60
00:01:05,24,40,25.33,767.57
00:01:07,24,40,25.33,767.57
00:01:08,24,40,25.32,767.55
00:01:09,24,40,25.32,767.57
00:01:11,24,40,25.31,767.57
00:01:12,24,40,25.30,767.63
00:01:13,24,40,25.30,767.63
00:01:15,24,40,25.30,767.65
00:01:16,24,40,25.31,767.60
00:01:18,24,40,25.30,767.60
00:01:19,24,40,25.31,767.60
00:01:20,24,40,25.31,767.60
00:01:22,24,40,25.30,767.65
00:01:23,24,40,25.29,767.65
00:01:24,24,40,25.29,767.73
00:01:26,24,40,25.28,767.65
00:01:27,24,40,25.28,767.68
00:01:28,24,40,25.28,767.68
00:01:30,24,40,25.28,767.65
00:01:31,24,40,25.27,767.65
00:01:32,24,40,25.27,767.68
00:01:34,24,40,25.27,767.68
00:01:35,24,40,25.26,767.65
00:01:36,24,40,25.26,767.63
00:01:38,24,40,25.27,767.63
00:01:39,24,40,25.26,767.68
00:01:41,24,40,25.26,767.68
00:01:42,24,40,25.26,767.65
00:01:43,24,40,25.26,767.73
00:01:45,24,40,25.26,767.65
00:01:46,24,40,25.27,767.68
00:01:47,24,40,25.28,767.63
00:01:49,24,39,25.27,767.68
00:01:50,24,39,25.28,767.60
00:01:51,24,39,25.28,767.63
00:01:53,24,39,25.29,767.68
00:01:54,24,39,25.30,767.60
00:01:55,24,39,25.30,767.65
00:01:57,24,40,25.30,767.57
00:01:58,24,40,25.31,767.63
00:01:59,24,40,25.30,767.60
00:02:01,24,40,25.31,767.65
00:02:02,24,40,25.30,767.60
00:02:04,24,40,25.31,767.60
00:02:05,24,40,25.30,767.57
00:02:06,24,40,25.30,767.57
00:02:08,24,40,25.29,767.57
00:02:09,24,40,25.29,767.57
00:02:10,24,40,25.29,767.57
