Tiempo,Temp_DHT,Humedad_DHT,Temp_BME,Presion_BME
00:00:06,0,0,25.94,767.08
00:00:11,0,0,25.67,767.45
00:00:16,0,0,25.51,767.59
00:00:21,0,0,25.41,767.71
00:00:26,0,0,25.35,767.76
00:00:31,0,0,25.32,767.79
00:00:36,0,0,25.28,767.85
00:00:41,0,0,25.25,767.88
00:00:46,0,0,25.22,767.96
00:00:51,0,0,25.20,767.91
00:00:56,0,0,25.17,767.99
00:01:01,0,0,25.16,767.99
00:01:06,0,0,25.14,767.99
00:01:11,0,0,25.12,768.05
00:01:16,0,0,25.11,768.05
00:01:21,0,0,25.11,767.99
00:01:26,0,0,25.10,768.05
00:01:31,0,0,25.12,767.99
00:01:36,0,0,25.10,767.99
00:01:41,0,0,25.11,768.05
00:01:46,0,0,25.11,768.05
00:01:51,0,0,25.11,768.05
00:01:56,0,0,25.11,768.02
00:02:01,0,0,25.11,767.99
00:02:06,0,0,25.11,767.96
00:02:11,0,0,25.11,768.05
00:02:16,0,0,25.11,768.02
00:02:21,0,0,25.10,767.99
00:02:26,0,0,25.09,768.10
00:02:31,0,0,25.08,768.10
00:02:36,0,0,25.09,768.10
00:02:41,0,0,25.08,768.07
00:02:46,0,0,25.08,768.05
00:02:51,0,0,25.09,768.02
00:02:56,0,0,25.10,768.05
00:03:01,0,0,25.10,768.05
00:03:06,0,0,25.08,768.18
00:03:11,0,0,25.08,768.10
00:03:16,0,0,25.09,768.05
00:03:21,0,0,25.08,768.02
00:03:26,0,0,25.09,768.05
00:03:31,0,0,25.09,767.99
00:03:36,0,0,25.10,767.99
00:03:41,0,0,25.10,767.99
00:03:46,0,0,25.10,768.05
00:03:51,0,0,25.12,768.05
00:03:56,0,0,25.11,768.05
00:04:01,0,0,25.11,767.99
00:04:06,0,0,25.11,768.05
00:04:11,0,0,25.12,768.02
00:04:16,0,0,25.11,767.99
00:04:21,0,0,25.11,768.10
00:04:26,0,0,25.10,768.07
00:04:31,0,0,25.09,768.10
00:04:36,0,0,25.08,768.10
00:04:41,0,0,25.07,768.07
00:04:46,0,0,25.08,768.05
00:04:51,0,0,25.08,768.05
00:04:56,0,0,25.07,768.07
00:05:01,0,0,25.08,768.02
00:05:06,0,0,25.08,768.05
00:05:11,0,0,25.09,768.10
00:05:16,0,0,25.09,768.02
00:05:21,0,0,25.09,768.05
00:05:26,0,0,25.08,768.10
00:05:31,0,0,25.08,768.02
00:05:36,0,0,25.09,768.07
00:05:41,0,0,25.10,768.05
00:05:46,0,0,25.09,768.02
00:05:51,0,0,25.10,768.05
00:05:56,0,0,25.10,768.05
00:06:01,0,0,25.09,768.02
00:06:06,0,0,25.09,768.05
00:06:11,0,0,25.10,768.07
00:06:16,0,0,25.10,768.02
00:06:21,0,0,25.08,768.10
00:06:26,0,0,24.87,768.01
00:06:31,0,0,25.03,767.86
00:06:36,0,0,25.25,767.53
00:06:41,0,0,25.40,767.63
00:06:46,0,0,25.41,767.41
00:06:51,0,0,25.40,767.44
00:06:56,0,0,25.38,767.60
00:07:01,0,0,25.47,767.49
00:07:06,0,0,25.64,767.10
00:07:11,0,0,25.80,767.06
00:07:16,0,0,25.88,766.76
